mes;2020;2019;Var%
Ene;20;15;33%
Feb;12;14;-14%
Marzo;5;13;-62%
Abril;10;13;-23%
Mayo;11;11;0%
Junio;10;17;-41%
Julio;8;13;-38%
Ago;12;18;-33%
Set;11;7;57%
Oct;12;13;-8%
